epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,628.664,1.14617,0.68452,1.16682,0.8786,0.86413,0.87803,0.5123,1.49559,0.77506,1.36065,0.0009605,0.0009605,0.0009605
44,645.585,1.18365,0.68882,1.19427,0.91933,0.85047,0.89843,0.47869,1.50772,0.77883,1.38878,0.00093575,0.00093575,0.00093575
45,660.498,1.18356,0.67243,1.1913,0.92767,0.85075,0.89919,0.50695,1.40113,0.77534,1.29825,0.000911,0.000911,0.000911
46,675.01,1.18307,0.66292,1.15899,0.93387,0.80597,0.88971,0.46753,1.53917,0.86207,1.3827,0.00088625,0.00088625,0.00088625
47,690.77,1.15769,0.67735,1.15506,0.92556,0.80597,0.9065,0.50518,1.42986,0.7863,1.32304,0.0008615,0.0008615,0.0008615
48,705.379,1.13501,0.65059,1.14342,0.90713,0.87473,0.90897,0.49832,1.44261,0.78681,1.379,0.00083675,0.00083675,0.00083675
49,721.208,1.1297,0.62801,1.14229,0.90434,0.86567,0.92197,0.48027,1.43156,0.76214,1.36319,0.000812,0.000812,0.000812
50,736.289,1.08588,0.63478,1.13524,0.89679,0.83582,0.89847,0.48302,1.48237,0.7684,1.37379,0.00078725,0.00078725,0.00078725
51,750.757,1.09602,0.60477,1.14026,0.88768,0.8806,0.90461,0.47881,1.48639,0.77714,1.37843,0.0007625,0.0007625,0.0007625
52,765.333,1.02908,0.60131,1.09541,0.90163,0.86567,0.89709,0.50066,1.38079,0.78708,1.3443,0.00073775,0.00073775,0.00073775
53,780.804,1.0686,0.60066,1.11062,0.90469,0.86567,0.90336,0.51943,1.37815,0.75628,1.37401,0.000713,0.000713,0.000713
54,796.127,1.06077,0.61892,1.13502,0.90345,0.85075,0.90834,0.51687,1.41682,0.72894,1.35453,0.00068825,0.00068825,0.00068825
55,811.365,1.00908,0.58812,1.07618,0.88043,0.85075,0.89575,0.50798,1.42685,0.82202,1.33546,0.0006635,0.0006635,0.0006635
56,825.327,1.05637,0.62095,1.11274,0.87677,0.8209,0.87731,0.50476,1.40336,0.8379,1.34649,0.00063875,0.00063875,0.00063875
57,840.634,1.00106,0.57,1.12136,0.88836,0.8314,0.85654,0.49956,1.38643,0.80784,1.3365,0.000614,0.000614,0.000614
